image,image_urls,images,misc,ranking,rating,season,title
,,,Adventure;Slice of Life;Mystery;Historical;Supernatural;Fantasy;Seinen,#49,8.68,Fall 2005,Mushishi
,,,Action;Military;Adventure;Comedy;Drama;Magic;Fantasy;Shounen,#1,9.16,Spring 2009,Fullmetal Alchemist: Brotherhood
,,,Action;Drama;Shounen;Slice of Life;Sports,#50,8.68,Fall 1980,Ashita no Joe 2
,,,Action;Adventure;Fantasy,#47,8.69,,Mononoke Hime
,,,Music;Drama;Romance;School;Shounen,#48,8.69,Fall 2014,Shigatsu wa Kimi no Uso
,,,Slice of Life;Comedy;Drama;School;Shounen,#46,8.69,Summer 1999,Great Teacher Onizuka
,,,Sci-Fi;Adventure;Mystery;Drama;Fantasy,#44,8.70,Summer 2017,Made in Abyss
,,,Sci-Fi;Adventure;Mystery;Drama;Fantasy,#45,8.70,,Made in Abyss Movie 3: Fukaki Tamashii no Reimei
,,,Action;Military;Sci-Fi;Super Power;Drama;Mecha;School,#43,8.71,Fall 2006,Code Geass: Hangyaku no Lelouch
,,,Action;Historical;Demons;Supernatural;Shounen,#39,8.73,,Kimetsu no Yaiba Movie: Mugen Ressha-hen
,,,Action;Sci-Fi;Psychological;Drama;Mecha,#38,8.73,,Evangelion: 3.0+1.0 Thrice Upon a Time
,,,Action;Historical;Drama;Romance;Martial Arts;Samurai;Shounen,#40,8.72,,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen
,,,Action;Adventure;Historical;Drama;Seinen,#41,8.72,Summer 2019,Vinland Saga
,,,Action;Demons;Supernatural;School;Shounen,#37,8.74,Fall 2020,Jujutsu Kaisen (TV)
,,,Adventure;Slice of Life;Mystery;Historical;Supernatural;Fantasy;Seinen,#42,8.71,Spring 2014,Mushishi Zoku Shou
,,,Comedy;Sports;Drama;Shounen,#36,8.74,Fall 2000,Hajime no Ippo
,,,Adventure;Fantasy;Historical;Mystery;Seinen;Slice of Life;Supernatural,#35,8.75,Fall 2014,Mushishi Zoku Shou 2nd Season
,,,Drama;Historical;Josei,#34,8.76,Winter 2017,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen
,,,Mystery;Comedy;Supernatural;Romance;Vampire,#31,8.78,Summer 2013,Monogatari Series: Second Season
,,,Action;Supernatural;Magic;Fantasy,#33,8.76,,Fate/stay night Movie: Heaven's Feel - III. Spring Song
,,,Action;Adventure;Comedy;Drama;Sci-Fi;Space,#32,8.77,Spring 1998,Cowboy Bebop
,,,Mystery,#29,8.80,Spring 2021,Odd Taxi
,,,Adventure;Supernatural;Drama,#30,8.80,,Sen to Chihiro no Kamikakushi
,,,Drama;Horror;Mystery;Police;Psychological;Seinen;Thriller,#28,8.80,Spring 2004,Monster
,,,Action;Mystery;Supernatural;Vampire,#27,8.81,,Kizumonogatari III: Reiketsu-hen
,,,Action;Sci-Fi;Comedy;Historical;Parody;Samurai;Shounen,#22,8.88,Summer 2018,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen
,,,Action;Comedy;Historical;Parody;Samurai;Sci-Fi;Shounen,#24,8.82,Winter 2018,Gintama.: Shirogane no Tamashii-hen
,,,Slice of Life;Drama;Fantasy,#23,8.87,,Violet Evergarden Movie
,,,Comedy;Sports;Drama;School;Shounen,#26,8.81,Fall 2016,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou
,,,Action;Slice of Life;Comedy;Supernatural,#25,8.82,Winter 2019,Mob Psycho 100 II
,,,Super Power;Drama;Fantasy,#21,8.89,,Shiguang Dailiren
,,,Romance;Supernatural;School;Drama,#20,8.90,,Kimi no Na wa.
,,,Action;Military;Sci-Fi;Super Power;Drama;Mecha,#19,8.91,Spring 2008,Code Geass: Hangyaku no Lelouch R2
,,,Action;Military;Mystery;Super Power;Drama;Fantasy;Shounen,#17,8.93,Winter 2021,Shingeki no Kyojin: The Final Season
,,,Mystery;Comedy;Supernatural;Vampire,#18,8.91,Summer 2017,Owarimonogatari 2nd Season
,,,Action;Sci-Fi;Comedy;Historical;Parody;Samurai;Shounen,#15,8.94,,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare
,,,Action;Sci-Fi;Comedy;Historical;Parody;Drama;Samurai;Shounen,#16,8.94,,Gintama: The Final
,,,Slice of Life;Comedy;Supernatural;Drama;Romance,#13,8.95,Fall 2008,Clannad: After Story
,,,Action;Comedy;Historical;Parody;Samurai;Sci-Fi;Shounen,#11,8.98,Winter 2017,Gintama.
,,,Drama;School;Shounen,#12,8.97,,Koe no Katachi
,,,Military;Sci-Fi;Space;Drama,#8,9.05,,Ginga Eiyuu Densetsu
,,,Action;Comedy;Historical;Parody;Samurai;Sci-Fi;Shounen,#14,8.95,Spring 2006,Gintama
,,,Action;Comedy;Historical;Parody;Samurai;Sci-Fi;Shounen,#4,9.09,Spring 2015,Gintama°
,,,Drama;Game;Seinen;Slice of Life,#10,8.98,Fall 2017,3-gatsu no Lion 2nd Season
,,,Sci-Fi;Psychological;Drama;Thriller,#3,9.10,Spring 2011,Steins;Gate
,,,Action;Drama;Fantasy;Military;Mystery;Shounen;Super Power,#2,9.10,Spring 2019,Shingeki no Kyojin Season 3 Part 2
,,,Action;Sci-Fi;Comedy;Historical;Parody;Samurai;Shounen,#6,9.06,Spring 2011,Gintama'
,,,Action;Comedy;Historical;Parody;Samurai;Sci-Fi;Shounen,#9,9.04,Fall 2012,Gintama': Enchousen
